store,websites,attribute_set,type,category_ids,sku,has_options,price,special_price,weight,minimal_price,msrp,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,options_container,image_label,small_image_label,thumbnail_label,msrp_enabled,msrp_display_actual_price_type,status,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,gift_wrapping_price,custom_design,page_layout,country_of_manufacture,gift_message_available,gift_wrapping_available,is_recurring
admin,base,Default,simple,4,GOUR0080-03,0,32.4,,220,,,Bombay Chai  (200 gr) -10% Off,,,,,,,bombay-chai,bombay-chai-446.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:43:36,0,1,0,1,1,1,0,1,0,0,1,1,Bombay Chai  (200 gr) -10% Off,0,simple,,,,,,,,,
admin,base,Default,grouped,4,GOUR0081,0,,,,,,Casablanca Black Tea,,,,,,,casablanca,casablanca.html,Block after Info Column,/,/,/,,,Disabled,"Catalog, Search",,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Casablanca Black Tea,0,grouped,,,,,,,,,
admin,base,Default,simple,4,GOUR0081-01,0,9,,50,,,Casablanca (50 gr),,,,,,,casablanca,casablanca-448.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,2015-02-24 00:00:00,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:43:40,0,1,0,1,1,1,0,1,0,0,1,1,Casablanca (50 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0081-02,0,18,,110,,,Casablanca (100 gr),,,,,,,casablanca,casablanca-449.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:43:42,0,1,0,1,1,1,0,1,0,0,1,1,Casablanca (100 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0081-03,0,32.4,,220,,,Casablanca (200 gr) -10% Off,,,,,,,casablanca,casablanca-450.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:43:44,0,1,0,1,1,1,0,1,0,0,1,1,Casablanca (200 gr) -10% Off,0,simple,,,,,,,,,
admin,base,Default,grouped,4,GOUR0082,0,,,,,,Cashmere Black Tea,,,,,,,cashmere,cashmere.html,Block after Info Column,/,/,/,,,Disabled,"Catalog, Search",,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Cashmere Black Tea,0,grouped,,,,,,,,,
admin,base,Default,simple,4,GOUR0082-01,0,9,,50,,,Cashmere (50 gr),,,,,,,cashmere,cashmere-452.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,2015-02-24 00:00:00,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:43:47,0,1,0,1,1,1,0,1,0,0,1,1,Cashmere (50 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0082-02,0,18,,110,,,Cashmere (100 gr),,,,,,,cashmere,cashmere-453.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:43:49,0,1,0,1,1,1,0,1,0,0,1,1,Cashmere (100 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0082-03,0,32.4,,220,,,Cashmere (200 gr) -10% Off,,,,,,,cashmere,cashmere-454.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:43:51,0,1,0,1,1,1,0,1,0,0,1,1,Cashmere (200 gr) -10% Off,0,simple,,,,,,,,,
admin,base,Default,grouped,4,GOUR0083,0,,,,,,Lychee Rose Black Tea,,,,,,,lychee-rose,lychee-rose.html,Block after Info Column,/,/,/,,,Disabled,"Catalog, Search",,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lychee Rose Black Tea,0,grouped,,,,,,,,,
