"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","gallery","url_key","url_path","options_container","image_label","small_image_label","thumbnail_label","msrp_enabled","msrp_display_actual_price_type","ingredients","temperature","amount_of_water","time","nice_flowery_sentence","brewing","status","visibility","tax_class_id","price","special_price","weight","minimal_price","msrp","gift_wrapping_price","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","page_layout","gift_message_available","gift_wrapping_available","is_recurring","custom_design","country_of_manufacture","is_new","is_featured","is_best_selling","is_promotion"
"admin","base","Default","simple","56","GOUR0098-01","0","Honey Bamboo (50 gr)","","","","","","","honey-bamboo","honey-bamboo-520.html","Block after Info Column","/","/","/","Use config","Use config","","","","","","","Disabled","Not Visible Individually","Taxable Goods","12.0000","","50.0000","","","","test description","test description","","","2015-02-24 00:00:00","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2015-05-22 10:03:13","0.0000","1","0","1","1","1","0.0000","1","0","0","1","1","Honey Bamboo (50 gr)","0","simple","","","","","","","","","","","",""
"admin","base","Default","grouped","56","GOUR0098","0","Honey Bamboo Green Tea","","","","","","","honey-bamboo","honey-bamboo.html","Block after Info Column","/","/","/","","","","","","","","","Disabled","Catalog, Search","","","","","","","","test description","test description","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Honey Bamboo Green Tea","0","grouped","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,11,24,56,57,78,79,88,91","GC0024","0","Imperial Pu'erh","","","","","","","imperial-pu-erh","imperial-pu-erh.html","Block after Info Column","","","","Use config","Use config","Dark brown and golden fully-oxidised leaves.","96-98乎C","2g for 200ml","3-5 mins","A timeless classic for Chinese black tea lovers, known for its health benefits. ","","Enabled","Catalog, Search","Taxable Goods","48.0000","39.4000","60.0000","","","","test description","test description","","","2014-01-27 00:00:00","2014-02-02 00:00:00","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Imperial Pu'erh","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,11,56,58,78,81,82,88,91","GC0012","0","Iron Goddess of Mercy","","","","","","","iron-goddess-of-mercy","iron-goddess-of-mercy.html","Block after Info Column","","","","Use config","Use config","Twisted leaves of dark green and brown.","85-90乎C","2g for 200ml","2-4mins","Legend has it that this tea was a divine gift from the Bodhisattva Guanyin. It is now one of the oldest known oolongs.","","Enabled","Catalog, Search","Taxable Goods","78.0000","64.0000","80.0000","","","","test description","test description","","","2014-01-20 00:00:00","2014-01-26 00:00:00","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Iron Goddess of Mercy","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,11,15,23,25,56,77,88,91","GC0003","0","Jade Spring","","","","","","","jade-spring","jade-spring.html","Block after Info Column","","","","Use config","Use config","Pan fried green tea curled into tiny spirals.","70-80乎C","2g for 200ml","3-4 mins","Harvested in early spring as the buds just begin to sprout, this highly prized tea is one of the rarest in the world.","","Enabled","Catalog, Search","Taxable Goods","38.0000","31.2000","80.0000","","","","test description","test description","","","2014-01-13 00:00:00","2014-01-19 00:00:00","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","0","","1.0000","1","1","0","0","1","0.0000","1","0","0","0","1","Jade Spring","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,11,15,19,23,56,86,88,90,93,95","GOUR0021-01","0","Jasmine Silver Clouds (10 gr)","","","","","","","jasmine-silver-clouds","jasmine-silver-clouds.html","Block after Info Column","","","","Use config","Use config","Coiled leaf buds of green with white streaks.","70-80乎C","2g for 200ml","2-4mins","Immaculate coils of leaf tips unfurling in a cup to release a celestial scent.","","Enabled","Not Visible Individually","Taxable Goods","5.0000","","20.0000","","","","test description","test description","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Jasmine Silver Clouds (10 gr)","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,11,15,19,23,56,86,88,90,93,95","GOUR0021-02","0","Jasmine Silver Clouds (100 gr)","","","","","","","jasmine-silver-clouds","jasmine-silver-clouds-2138.html","Block after Info Column","","","","Use config","Use config","Coiled leaf buds of green with white streaks.","70-80乎C","2g for 200ml","2-4mins","Immaculate coils of leaf tips unfurling in a cup to release a celestial scent.","","Enabled","Not Visible Individually","Taxable Goods","25.0000","20.5000","110.0000","","","","test description","test description","","","2014-01-13 00:00:00","2014-01-19 00:00:00","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Jasmine Silver Clouds (100 gr)","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,11,15,19,23,56,86,88,90,93,95","GOUR0021-04","0","Jasmine Silver Clouds (200 gr) -10% Off","","","","","","","jasmine-silver-clouds","jasmine-silver-clouds-2141.html","Block after Info Column","/","/","/","Use config","Use config","Coiled leaf buds of green with white streaks.","70-80乎C","2g for 200ml","2-4mins","Immaculate coils of leaf tips unfurling in a cup to release a celestial scent.","","Enabled","Not Visible Individually","Taxable Goods","45.0000","20.5000","220.0000","","","","test description","test description","","","2014-01-13 00:00:00","2014-01-19 00:00:00","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2015-05-22 10:03:23","0.0000","1","0","1","1","1","0.0000","1","0","0","1","1","Jasmine Silver Clouds (200 gr) -10% Off","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,11,15,19,23,56,86,88,90,93,95","GOUR0021-03","0","Jasmine Silver Clouds (50 gr)","","","","","","","jasmine-silver-clouds","jasmine-silver-clouds-2139.html","Block after Info Column","","","","Use config","Use config","Coiled leaf buds of green with white streaks.","70-80乎C","2g for 200ml","2-4mins","Immaculate coils of leaf tips unfurling in a cup to release a celestial scent.","","Enabled","Not Visible Individually","Taxable Goods","12.5000","","50.0000","","","","test description","test description","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Jasmine Silver Clouds (50 gr)","0","simple","","","","","","","","","","","",""
"admin","base","Default","grouped","4,5,6,7,11,15,19,23,56,86,88,90,93,95","GOUR0021","0","Jasmine Silver Clouds Green Tea","","","","","","","jasmine-silver-clouds","jasmine-silver-clouds-2140.html","Block after Info Column","","","","","","Coiled leaf buds of green with white streaks.","70-80乎C","2g for 200ml","2-4mins","Immaculate coils of leaf tips unfurling in a cup to release a celestial scent.","","Enabled","Catalog, Search","","","","","","","","test description","test description","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","","1","1","0","0","1","0.0000","1","0","0","0","1","Jasmine Silver Clouds Green Tea","0","grouped","","","","","","","","","","","",""
